[2025-11-13 16:58:48] {'num_layer_x': 3, 'num_layer_y': 3, 'top_K': 3, 'weight_decay': 0, 'constraint_xy': 3, 'constraint_yx': 1, 'learning_rate': 0.0003, 'test_batch_size': 1000, 'validation_batch_size': 4000, 'test_step': 200, 'save_step': 200, 'display_step': 50, 'train_batch_size': 20, 'max_steps': 700000, 'constraint_x': 0.2, 'constraint_y': 0.2, 'keep_prob': 0.9, 'summaries_dir': 'expr/Structure_test(K2_Linear)_lr_0.0003   dr_0.9   nx_3   ny_3   xy_3   yx_1   x_0.2   y_0.2   K_3   ba_20'}
[2025-11-13 16:58:49] [iter 50] (0.011921101 0.0055778394, 0.0 0.0)(9.2156375e-07 5.7094e-07, 0.0) (8.661793e-07 2.545974e-07, 0.0) loss=0.04134, [0.9, 1.0, 1.0, 1.0, 1.0, 1.0], [0.95, 1.0, 1.0, 1.0, 1.0, 1.0] 
[2025-11-13 16:58:58] [iter 600] (0.0 0.0, 0.0066109844 0.0)(0.0 0.0, 5.1399646e-05) (0.0 0.0, 0.0) loss=0.001322, [1.0, 1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0, 1.0] 
[2025-11-13 16:58:59] [iter 650] (0.0 0.0, 0.0 0.0)(0.0 0.0, 0.0) (0.0 0.0, 0.0) loss=0, [1.0, 1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0, 1.0] 
[2025-11-13 16:59:00] [iter 700] (0.0 0.0, 0.0 0.0)(0.0 0.0, 0.0) (0.0 0.0, 0.0) loss=0, [1.0, 1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0, 1.0] 
[2025-11-13 16:59:00] [iter 750] (0.0 0.0, 0.0 0.002646949)(0.0 0.0, 0.0) (0.0 0.0, 4.3630647e-05) loss=0.0005294, [1.0, 1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0, 1.0] 
[2025-11-13 16:59:01] [iter 800] (0.0 0.0, 0.0 0.04269729)(0.0 0.0, 0.0) (0.0 0.0, 4.7256646e-05) loss=0.008539, [1.0, 1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0, 1.0] 
[2025-11-13 16:59:02] [iter 850] (0.0 0.0, 0.0 0.0)(0.0 0.0, 0.0) (0.0 0.0, 0.0) loss=0, [1.0, 1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0, 1.0] 
[2025-11-13 16:59:03] [iter 900] (0.005946645 0.005946645, 0.0 0.0)(6.8941425e-08 6.8941425e-08, 0.0) (7.882447e-10 7.882447e-10, 0.0) loss=0.02379, [0.95, 1.0, 1.0, 1.0, 1.0, 1.0], [0.95, 1.0, 1.0, 1.0, 1.0, 1.0] 
[2025-11-13 16:59:04] [iter 950] (0.0 0.0, 0.0 0.02350236)(0.0 0.0, 0.0) (0.0 0.0, 4.2448137e-05) loss=0.0047, [1.0, 1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0, 1.0] 
[2025-11-13 16:59:04] [iter 1000] (0.0 0.0, 0.019964913 0.0)(0.0 0.0, 4.771813e-05) (0.0 0.0, 0.0) loss=0.003993, [1.0, 1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0, 1.0] 
[2025-11-13 16:59:05] [iter 1050] (0.0 0.0, 0.0 0.040079635)(0.0 0.0, 0.0) (0.0 0.0, 4.356386e-05) loss=0.008016, [1.0, 1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0, 1.0] 
[2025-11-13 16:59:06] [iter 1100] (0.0 0.0, 0.0 0.0)(0.0 0.0, 0.0) (0.0 0.0, 0.0) loss=0, [1.0, 1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0, 1.0] 
[2025-11-13 16:59:07] [iter 1150] (0.0 0.0, 0.0046575814 0.0)(0.0 0.0, 5.1371666e-05) (0.0 0.0, 0.0) loss=0.0009315, [1.0, 1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0, 1.0] 
[2025-11-13 16:59:08] [iter 1200] (0.0032140936 0.0012539461, 0.051767807 0.018164778)(6.389547e-08 1.278231e-07, 3.859349e-05) (5.425349e-08 2.3293134e-09, 4.2769876e-05) loss=0.02488, [0.95, 1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0, 1.0] 
[2025-11-13 16:59:08] [iter 1250] (0.0033333332 0.0033333332, 0.0 0.010421004)(0.0 0.0, 0.0) (0.0 0.0, 4.528798e-05) loss=0.01542, [0.95, 1.0, 1.0, 1.0, 1.0, 1.0], [0.95, 1.0, 1.0, 1.0, 1.0, 1.0] 
[2025-11-13 16:59:09] [iter 1300] (0.0 0.0, 0.0 0.0)(0.0 0.0, 0.0) (0.0 0.0, 0.0) loss=0, [1.0, 1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0, 1.0] 
[2025-11-13 16:59:10] [iter 1350] (0.0 0.0, 0.060398906 0.0)(0.0 0.0, 3.9282764e-05) (0.0 0.0, 0.0) loss=0.01208, [1.0, 1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0, 1.0] 
[2025-11-13 16:59:11] [iter 1400] (0.0 0.0, 0.101059414 0.0)(0.0 0.0, 5.384729e-05) (0.0 0.0, 0.0) loss=0.02021, [1.0, 1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0, 1.0] 
